DATE,AAPL,NFLX,BA,T,MGM,AMZN,IBM,GOOG,SP500
02/07/2024,220.27,679.58,185.42,18.82,42.33,200.00,177.30,186.61,"5,509.01"
01/07/2024,216.75,673.61,186.70,18.98,42.86,197.20,175.10,184.49,"5,475.09"
28/06/2024,210.62,674.88,182.01,19.11,44.44,193.25,172.95,183.42,"5,460.48"
27/06/2024,214.10,684.34,182.51,18.75,43.37,197.85,170.85,186.86,"5,482.87"
26/06/2024,213.25,677.69,178.50,18.76,42.43,193.61,171.87,185.37,"5,477.90"
25/06/2024,209.07,672.41,175.10,18.69,41.96,186.34,172.60,185.58,"5,469.30"
24/06/2024,208.14,669.02,179.10,18.65,42.45,185.57,175.01,180.79,"5,447.87"
21/06/2024,207.49,686.12,176.56,18.40,42.00,189.08,172.46,180.26,"5,464.62"
20/06/2024,209.68,679.03,176.30,18.11,41.70,186.10,173.92,177.71,"5,473.17"
18/06/2024,214.29,685.67,174.99,18.05,40.53,182.81,170.55,176.45,"5,487.03"
17/06/2024,216.67,675.83,178.39,17.67,40.39,184.06,169.50,178.78,"5,473.23"
14/06/2024,212.49,669.38,177.27,17.64,39.85,183.66,169.21,178.37,"5,431.60"
13/06/2024,214.24,653.26,180.70,17.67,40.53,183.83,169.12,176.74,"5,433.74"
12/06/2024,213.07,650.06,182.67,17.61,40.47,186.89,169.00,179.56,"5,421.03"
11/06/2024,207.15,648.55,185.50,17.86,40.77,187.23,169.32,178.19,"5,375.32"
10/06/2024,193.12,644.50,190.12,17.86,40.77,187.06,170.38,176.63,"5,360.79"
07/06/2024,196.89,641.47,190.24,18.10,40.69,184.30,170.01,175.95,"5,346.99"
06/06/2024,194.48,648.52,191.42,18.28,40.09,185.00,168.20,178.35,"5,352.96"
05/06/2024,195.87,650.27,189.85,18.30,40.38,181.28,167.38,177.07,"5,354.03"
04/06/2024,194.35,631.62,188.62,18.35,39.44,179.34,165.81,175.13,"5,291.34"
03/06/2024,194.03,633.79,184.57,18.01,40.21,178.34,165.28,174.42,"5,283.40"
31/05/2024,192.25,641.62,177.61,18.22,40.17,176.44,166.85,173.96,"5,277.51"
30/05/2024,191.29,647.66,172.75,17.62,38.53,179.32,165.63,173.56,"5,235.48"
29/05/2024,190.29,654.62,171.65,17.12,38.70,182.02,167.05,177.40,"5,266.95"
28/05/2024,189.99,649.00,175.08,17.27,38.98,182.15,169.66,178.02,"5,306.04"
